timestep,episode,reward,length,mean_reward_10ep
4922,449,3.013,4,5.065
4929,450,5.779,7,5.468
4946,451,12.818,17,6.265
4972,452,20.198,26,8.125
4979,453,4.483,7,7.798
4986,454,5.013,7,7.973
4999,455,9.365,13,8.43
5005,456,4.114,6,8.137
5008,457,1.733,3,7.153
5020,458,9.097,12,7.561
5030,459,8.846,10,8.145
5035,460,3.201,5,7.887
5043,461,6.419,8,7.247
5067,462,17.479,24,6.975
5072,463,3.499,5,6.877
5079,464,5.979,7,6.973
5089,465,7.496,10,6.786
5114,466,19.178,25,8.293
5119,467,3.752,5,8.495
5125,468,4.646,6,8.049
5129,469,2.913,4,7.456
5159,470,22.648,30,9.401
5177,471,12.678,18,10.027
5180,472,2.313,3,8.51
5188,473,6.298,8,8.79
5215,474,20.843,27,10.277
5245,475,20.786,30,11.606
5251,476,5.045,6,10.192
5258,477,5.046,7,10.322
5265,478,5.88,7,10.445
5278,479,9.479,13,11.102
5284,480,4.231,6,9.26
5288,481,2.598,4,8.252
5294,482,4.845,6,8.505
5317,483,16.51,23,9.526
5330,484,10.165,13,8.459
5343,485,9.398,13,7.32
5362,486,13.903,19,8.205
5385,487,17.718,23,9.473
5390,488,3.779,5,9.263
5410,489,14.22,20,9.737
5419,490,7.486,9,10.062
5423,491,2.979,4,10.1
5427,492,2.598,4,9.876
5431,493,2.648,4,8.489
5442,494,8.013,11,8.274
5448,495,4.298,6,7.764
5465,496,13.433,17,7.717
5468,497,2.013,3,6.147
5489,498,14.733,21,7.242
5501,499,9.186,12,6.739
5504,500,2.146,3,6.205
5507,501,1.732,3,6.08
5513,502,4.979,6,6.318
5522,503,6.83,9,6.736
5530,504,5.635,8,6.499
5542,505,10.246,12,7.093
5566,506,16.466,24,7.397
5595,507,21.164,29,9.312
5602,508,5.052,7,8.344
5608,509,4.413,6,7.866
5626,510,14.065,18,9.058
5631,511,3.548,5,9.24
5645,512,11.251,14,9.867
5648,513,1.88,3,9.372
5678,514,22.085,30,11.017
5686,515,6.312,8,10.624
5698,516,8.763,12,9.853
5726,517,20.411,28,9.778
5732,518,4.246,6,9.697
5735,519,1.732,3,9.429
5743,520,6.912,8,8.714
5760,521,15.079,17,9.867
5769,522,6.481,9,9.39
5783,523,9.499,14,10.152
5805,524,16.579,22,9.601
5812,525,5.746,7,9.545
5817,526,3.118,5,8.98
5829,527,9.233,12,7.862
5851,528,15.332,22,8.971
5857,529,3.933,6,9.191
5860,530,1.749,3,8.675
5870,531,8.586,10,8.026
5900,532,21.698,30,9.547
5910,533,8.199,10,9.417
5924,534,9.981,14,8.757
5927,535,1.82,3,8.365
5930,536,1.665,3,8.219
5934,537,2.918,4,7.588
5941,538,5.797,7,6.635
5945,539,2.813,4,6.523
5948,540,2.113,3,6.559
5962,541,12.329,14,6.933
5986,542,17.113,24,6.475
5994,543,5.981,8,6.253
6011,544,11.668,17,6.422
6021,545,7.047,10,6.945
6046,546,18.643,25,8.642
6053,547,5.646,7,8.915
6074,548,16.065,21,9.942
6093,549,13.852,19,11.046
6099,550,4.382,6,11.273
6115,551,11.431,16,11.183
6129,552,10.695,14,10.541
6136,553,4.967,7,10.44
6166,554,21.485,30,11.421
6173,555,5.166,7,11.233
6179,556,4.066,6,9.775
6194,557,10.233,15,10.234
6224,558,22.679,30,10.896
6236,559,8.4,12,10.35
6244,560,5.532,8,10.465
6260,561,13.096,16,10.632
6272,562,8.978,12,10.46
6286,563,10.497,14,11.013
6316,564,22.249,30,11.09
6331,565,10.414,15,11.614
6361,566,22.617,30,13.47
6376,567,10.782,15,13.524
6390,568,10.499,14,12.306
6420,569,22.48,30,13.714
6441,570,15.218,21,14.683
6470,571,23.517,29,15.725
6477,572,5.199,7,15.347
6486,573,6.414,9,14.939
6492,574,4.082,6,13.122
6522,575,22.933,30,14.374
6542,576,14.132,20,13.526
6546,577,2.879,4,12.735
6576,578,22.252,30,13.911
6581,579,3.233,5,11.986
6590,580,6.267,9,11.091
6617,581,20.944,27,10.833
6629,582,10.015,12,11.315
6639,583,7.232,10,11.397
6644,584,3.652,5,11.354
6648,585,3.113,4,9.372
6653,586,4.013,5,8.36
6683,587,22.147,30,10.287
6701,588,12.868,18,9.348
6731,589,23.265,30,11.351
6738,590,5.577,7,11.283
6747,591,6.752,9,9.863
6776,592,22.177,29,11.079
6780,593,2.484,4,10.605
6785,594,3.846,5,10.624
6805,595,15.397,20,11.853
6823,596,13.567,18,12.808
6826,597,2.246,3,10.818
6838,598,10.61,12,10.592
